itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2512291820--32573-1-10968-2512292338,first,C$578,3610,Toronto Pearson International,Chicago O'Hare International,120,1,Air Canada,United Airlines,False,0.44188,2025-12-29,18:20:00,2025-12-29,19:20:00
18467-2512291820--32573-1-10968-2512292338,first,C$578,3297,Chicago O'Hare International,Dallas Fort Worth International,186,1,Air Canada,SkyWest Delta Connection,False,0.44188,2025-12-29,20:32:00,2025-12-29,23:38:00
18467-2512291310--32573-1-10968-2512291940,first,C$578,3606,Toronto Pearson International,Chicago O'Hare International,120,1,Delta Air Lines,Delta Air Lines,False,0.608263,2025-12-29,13:10:00,2025-12-29,14:10:00
18467-2512291310--32573-1-10968-2512291940,first,C$578,1642,Chicago O'Hare International,Dallas Fort Worth International,165,1,Delta Air Lines,Delta Air Lines,False,0.608263,2025-12-29,16:55:00,2025-12-29,19:40:00
18467-2512300615--32385-1-10910-2512301116,premium_economy,C$976,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,American Airlines,Envoy Air,False,0.448935,2025-12-30,06:15:00,2025-12-30,08:50:00
18467-2512300615--32385-1-10910-2512301455,premium_economy,C$739,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Delta Air Lines,Delta Air Lines,False,0.428035,2025-12-30,06:15:00,2025-12-30,08:50:00
18467-2512300615--32385-1-10968-2512301510,premium_economy,C$739,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Delta Air Lines,Delta Air Lines,False,0.421962,2025-12-30,06:15:00,2025-12-30,08:50:00
18467-2512300615--32385-1-10968-2512301510,premium_economy,C$739,921,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,145,1,Delta Air Lines,Delta Air Lines,False,0.421962,2025-12-30,13:45:00,2025-12-30,15:10:00
18467-2512301825--32573-0-10968-2512302105,business,C$556,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,Delta Air Lines,Delta Air Lines,False,0.999,2025-12-30,18:25:00,2025-12-30,21:05:00
18467-2512300809--32573-0-10968-2512301054,business,C$556,1169,Toronto Pearson International,Dallas Fort Worth International,225,0,Delta Air Lines,Delta Air Lines,False,0.969311,2025-12-30,08:09:00,2025-12-30,10:54:00
18467-2512301405--32573-0-10968-2512301705,business,C$668,3993,Toronto Pearson International,Dallas Fort Worth International,240,0,Delta Air Lines,Delta Air Lines,False,0.763154,2025-12-30,14:05:00,2025-12-30,17:05:00
18467-2512301400--31722-0-10968-2512301642,first,C$596,8078,Toronto Pearson International,Dallas Fort Worth International,222,0,American Airlines,Envoy Air,False,0.999,2025-12-30,14:00:00,2025-12-30,16:42:00
18467-2512301940--31722-0-10968-2512302222,first,C$596,8130,Toronto Pearson International,Dallas Fort Worth International,222,0,American Airlines,American Airlines,False,0.779426,2025-12-30,19:40:00,2025-12-30,22:22:00
18467-2512301125--32573-1-10968-2512301555,first,C$578,3604,Toronto Pearson International,Chicago O'Hare International,120,1,American Airlines,American Airlines,False,0.569725,2025-12-30,11:25:00,2025-12-30,12:25:00
18467-2512301125--32573-1-10968-2512301555,first,C$578,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,United Airlines,Air Canada,False,0.569725,2025-12-30,13:15:00,2025-12-30,15:55:00
18467-2512300615--32573-1-10968-2512301109,first,C$578,3524,Toronto Pearson International,Chicago O'Hare International,135,1,United Airlines,Air Canada,False,0.407747,2025-12-30,06:15:00,2025-12-30,07:30:00
18467-2512300615--32573-1-10968-2512301109,first,C$578,2247,Chicago O'Hare International,Dallas Fort Worth International,169,1,American Airlines,Envoy Air,False,0.407747,2025-12-30,08:20:00,2025-12-30,11:09:00
18467-2512311825--32573-0-10968-2512312105,economy,C$427,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,Delta Air Lines,Delta Air Lines,False,0.796256,2025-12-31,18:25:00,2025-12-31,21:05:00
